Det Num     Avg. ToT       Error
       0           0     +/-           0
       1           0     +/-           0
       2     19.4998     +/-  0.00614132
       3     18.7881     +/-  0.00679841
       4     19.3344     +/-  0.00711393
       5     19.0428     +/-  0.00705816
       6     18.3333     +/-  0.00847938
       7     19.2201     +/-  0.00662664
       8     19.7849     +/-  0.00637855
       9     19.5898     +/-  0.00647996
      10     19.1178     +/-  0.00707312
      11     19.0992     +/-   0.0064988
      12     18.9494     +/-  0.00670663
      13     19.3549     +/-  0.00630122
      14     19.6583     +/-    0.006181
      15      18.641     +/-  0.00677061
      16     19.3689     +/-  0.00615185
      17     18.8841     +/-   0.0062771
      18      19.341     +/-  0.00624471
      19     19.4866     +/-  0.00605642
      20      18.903     +/-  0.00716699
      21     19.4216     +/-  0.00611595
      22     19.2584     +/-  0.00667418
      23     19.1074     +/-  0.00648527
      24     19.3591     +/-  0.00740157
      25      19.864     +/-  0.00739328
      26     19.9674     +/-  0.00684663
      27     18.9147     +/-   0.0081733
      28     19.1234     +/-  0.00981448
      29     19.5903     +/-  0.00773434
      30     20.2702     +/-  0.00713229
      31       19.36     +/-  0.00876899
      32      19.649     +/-   0.0066174
      33     19.6936     +/-  0.00747152
      34     19.3316     +/-   0.0071365
      35     20.4235     +/-  0.00676957
      36     19.8585     +/-  0.00659722
      37     19.8366     +/-  0.00762488
      38     18.9885     +/-   0.0083546
      39     19.8532     +/-  0.00802641
      40     18.3627     +/-   0.0154671
      41     19.0632     +/-   0.0102442
      42       19.71     +/-  0.00688181
      43     19.4322     +/-  0.00759966
      44     19.6498     +/-  0.00816351
      45      19.475     +/-  0.00924567
      46     20.1521     +/-  0.00697938
      47     19.9148     +/-  0.00721725
      48     19.5893     +/-  0.00637961
      49     19.5755     +/-  0.00631521
      50     18.9579     +/-   0.0062291
      51     19.3921     +/-  0.00638554
      52     19.4175     +/-  0.00639005
      53     19.7941     +/-  0.00730881
      54     19.4802     +/-  0.00613291
      55     18.9683     +/-  0.00657422
      56     19.3293     +/-  0.00578692
      57     19.2831     +/-   0.0066759
      58      18.713     +/-  0.00582962
      59     19.5014     +/-  0.00655279
      60     19.3767     +/-   0.0067847
      61     19.3914     +/-  0.00582419
      62     19.5365     +/-   0.0063011
      63     19.0737     +/-  0.00669274
      64     20.0099     +/-  0.00663769
      65     19.7711     +/-   0.0068129
      66     19.2128     +/-  0.00662235
      67     19.8042     +/-  0.00633446
      68     19.3049     +/-  0.00620087
      69     19.5017     +/-  0.00614542
      70      19.679     +/-  0.00679675
      71     19.3433     +/-  0.00592591
